id,osm_id,z_order,tourism,name,name:en,amenity,building,historic,access,fee,ele,brand,tower:type
321394,543213365,0,attraction,,,,,,,,,,
27058,46198370,0,museum,Museum Collections - Bruce Curtis Building,,,university,,,,1657,,
27059,46200737,0,attraction,Mary Rippon Outdoor Theatre,,theatre,,,,,,,
27061,46202571,0,museum,Museum of Natural History - Henderson Building,,,university,,,,1654,,
27390,46938901,0,museum,Fiske Planetarium,,planetarium,university,,,,1647,,
145710,222831551,0,artwork,Appositio,,,,,,,,,
194445,293930527,0,museum,CU Art Museum,,,university,,,,,,
