id,osm_id,z_order,natural,name,name:en,type,ele,water,wetland,wood
1132596,46197729,0,water,Varsity Lake,,,1649,,,
8307993,242160374,0,wood,,,,,,,
8307995,242160373,0,wood,,,,,,,
8308080,242164398,0,wood,,,,,,,
8308082,242164403,0,wood,,,,,,,
19738058,242164408,0,wood,,,,,,,
17371276,542927814,0,grassland,,,,,,,
1157004,46938882,0,water,Kitt Pond,,,,pond,,
8308102,242164772,0,wood,,,,,,,
8308103,242164770,0,wood,,,,,,,
1157002,46938874,0,water,,,,,,,
1157003,46938875,0,water,,,,,,,
