X,Y,id,osm_id,z_order,building,building:levels,height,name,name:en,craft,office,leisure,shop,addr:housenumber,addr:housename,addr:street,addr:city,addr:state,addr:postcode,addr:place,addr:country,addr:hamlet,addr:suburb,addr:subdistrict,addr:district,addr:province,addr:interpolation,website,contact:website,phone,contact:phone,opening_hours,brand,construction,tower:type,disused
,,3362479,46371965,0,yes,,,Power House,,,,,,1100,,18th Street,Boulder,,,,,,,,,,,,,,,,,,,
,,3446655,46938868,0,university,,,Integrated Teaching and Learning Laboratory,,,,,,1045,,Regent Drive,Boulder,,,,,,,,,,,,,,,,,,,
,,3446658,46938869,0,university,4,,Gallogly Discovery Learning Center,,,,,,1095,,Regent Drive,Boulder,,,,,,,,,,,,,,,,,,,
,,3446660,46938871,0,garage,5,,Regent Drive AutoPark 436/491 top level,,,,,,1050,,Regent Drive,Boulder,,,,,,,,,,,,,,,,,,,
,,3446665,46938886,0,stadium,,,Coors Events/Conference Center,,,,sports_centre,,950,,Regent Drive,Boulder,,,,,,,,,,,,,,,,,,,
,,3446670,46938893,0,university,,,Sommers-Bausch Observatory,,,,,,2475,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
,,3446671,46938900,0,dormitory,,,Kittredge Central,,,,,,2480,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,residential,,
,,26612072,103498254,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26612073,103498255,0,yes,,,International English Center and Division of Continuing Education,,,,,,1030,,13th Street,,,,,,,,,,,,,,,,,,,,
,,26612074,103498257,0,yes,,,Alpha Delta Chi,,,,,,1058,,13th Street,,,,,,,,,,,,,,,,,,,,
,,69910791,206682698,0,shed,,,"Speech, Language, and Hearing Sciences Shed",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814200,215667600,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,210420575,466530281,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,53316449,167319414,0,office,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69464245,205668776,0,university,,,Electrical Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69464254,205668771,0,university,3,,Aerospace Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69910795,206682696,0,university,,,Basketball & Volleyball Practice Facility,,,,sports_centre,,,,,Boulder,,,,,,,,,,,,,,,,,,,
,,70223986,207507186,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,70223987,207507185,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
