X,Y,id,osm_id,z_order,craft,building,name,name:en,addr:housenumber,addr:housename,addr:street,addr:city,addr:state,addr:postcode,addr:place,addr:country,addr:hamlet,addr:suburb,addr:subdistrict,addr:district,addr:province,website,contact:website,phone,contact:phone,opening_hours,brand
-105.271978183736849,40.007413137389221,11867,2703445609,0,sculpter,,,,,,,,,,,,,,,,,,,,,,
-105.271989666944194,40.007141479907375,11868,2703445610,0,sculpter,,,,,,,,,,,,,,,,,,,,,,
