X,Y,id,osm_id,z_order,natural,name,name:en,type,ele,water,wetland,wood
-105.261913278225123,40.007380028871694,3524742,2703448388,0,tree,,,,,,,
-105.272288314154267,40.007464183179565,3524760,2703452128,0,tree,,,,,,,
-105.272029229527178,40.007545487640328,3524763,2703452137,0,tree,,,,,,,
-105.271845414390583,40.007500225363202,3524764,2703452118,0,tree,,,cypress,,,,
-105.273181070661281,40.007767859531526,3524766,2703452154,0,tree,,,,,,,
-105.271931580355201,40.007544397992916,3524773,2703452140,0,tree,,,,,,,
-105.260258941995772,40.006243275163314,8647099,4753715833,0,tree,,,,,,,
-105.271534445782848,40.007196129916082,3524751,2703452110,0,tree,,,,,,,
-105.272281943907856,40.007547583116121,3524758,2703452132,0,tree,,,,,,,
-105.271517765795522,40.007463093532152,3524761,2703452117,0,tree,,,,,,,
-105.272159149026365,40.007383968366184,3524762,2703452130,0,tree,,,,,,,
-105.27214230140099,40.007546577287741,3524767,2703452135,0,tree,,,,,,,
-105.271997126838016,40.007746485678439,3524768,2703452143,0,tree,,,,,,,
-105.272265263920545,40.007102755514723,3524776,2703452168,0,tree,,,,,,,
-105.269218861212124,40.009249444736497,8646773,4753692392,0,tree,,,,,,,
-105.259848731654458,40.007629474310136,8647109,4753716045,0,tree,,,,,,,
-105.262619453567495,40.006289878544948,8647158,4753725482,0,tree,,,,,,,
-105.263221777129544,40.008776034845255,10363203,5022518763,0,tree,,,,,,,
-105.26294014518291,40.008465736789759,10363218,5022518771,0,tree,,,,,,,
-105.272910167550705,40.00797388671154,10838380,5251028587,0,tree,,,,,,,
-105.269370908935699,40.004924969432182,8646409,4753670371,0,tree,,,,,,,
-105.271170503547054,40.00563826939225,8646417,4753672622,0,tree,,,,,,,
-105.270967326214119,40.005848487523821,8646418,4753672624,0,tree,,,,,,,
-105.27034153332319,40.005099061561083,8646427,4753672638,0,tree,,,,,,,
-105.266461969439334,40.003428464439565,8646492,4753683121,0,tree,,,,,,,
-105.266965973277152,40.003377586287314,8646499,4753683156,0,tree,,,,,,,
-105.262778374451656,40.00407755902134,8646566,4753683289,0,tree,,,,,,,
-105.263124966147885,40.004597572294216,8646599,4753688925,0,tree,,,,,,,
-105.266314615581535,40.006296248791358,8646624,4753689190,0,tree,,,,,,,
-105.274249008944622,40.007703486515169,8646663,4753689855,0,tree,,,,,,,
-105.270284620200641,40.008280245272516,8646704,4753691031,0,tree,,,,,,,
-105.271195313980442,40.008147895021409,8646729,4753691049,0,tree,,,,,,,
-105.270596678455789,40.007921332178654,8646733,4753691057,0,tree,,,,,,,
-105.270617633213718,40.009342819137828,8646738,4753692356,0,tree,,,,,,,
-105.270337342371604,40.009214492200243,8646749,4753692360,0,tree,,,,,,,
-105.267732246865279,40.010154690279222,8646821,4753698142,0,tree,,,,,,,
-105.267512808640191,40.010454175679627,8646836,4753698155,0,tree,,,,,,,
-105.263610278341631,40.007876488996658,8646945,4753706453,0,tree,,,,,,,
-105.263017426330165,40.008016047684492,8646989,4753710175,0,tree,,,,,,,
-105.260831174525421,40.006773598177091,8647095,4753715831,0,tree,,,,,,,
-105.259589144113178,40.007375167367854,8647116,4753716050,0,tree,,,,,,,
-105.259333412247344,40.006791032535688,8647127,4753716066,0,tree,,,,,,,
-105.26463873786102,40.006619119701611,8647265,4753730818,0,tree,,,,,,,
-105.265859059144063,40.007209540961156,8647307,4753732907,0,tree,,,,,,,
-105.270159059291103,40.009546918480112,7666936,4365776310,0,tree,,,,,,,
-105.265469719741645,40.003403318730051,8646508,4753683188,0,tree,,,,,,,
-105.264737979594599,40.003741947618266,8646510,4753683196,0,tree,,,,,,,
-105.26475315083934,40.003690566551796,8646512,4753683197,0,tree,,,,,,,
-105.265470725570026,40.003188490551707,8646515,4753683187,0,tree,,,,,,,
-105.264745020393264,40.003566095289671,8646517,4753683199,0,tree,,,,,,,
-105.264960519123861,40.003208690938351,8646521,4753683202,0,tree,,,,,,,
-105.264375043187187,40.003373730611855,8646522,4753683240,0,tree,,,,,,,
-105.26419013840318,40.003430559915358,8646527,4753683241,0,tree,,,,,,,
-105.264495072040631,40.003135433104632,8646528,4753683243,0,tree,,,,,,,
-105.263130079108819,40.003448497188145,8646532,4753683264,0,tree,,,,,,,
-105.263068053025336,40.003408766967112,8646533,4753683265,0,tree,,,,,,,
-105.264703362334487,40.002938542199075,8646534,4753683247,0,tree,,,,,,,
-105.264547878030626,40.003028060924976,8646536,4753683248,0,tree,,,,,,,
-105.263580271128276,40.003808919024607,8646541,4753683270,0,tree,,,,,,,
-105.263462337750624,40.003848649245668,8646543,4753683271,0,tree,,,,,,,
-105.263433923098859,40.003903131616283,8646545,4753683272,0,tree,,,,,,,
-105.263292604211358,40.003819061127473,8646548,4753683276,0,tree,,,,,,,
-105.263126977804646,40.004041768294769,8646551,4753683282,0,tree,,,,,,,
-105.262936960059704,40.003954596501785,8646559,4753683294,0,tree,,,,,,,
-105.263052881780595,40.003914866280724,8646560,4753683295,0,tree,,,,,,,
-105.262706206265335,40.00407755902134,8646569,4753683291,0,tree,,,,,,,
-105.262834281745825,40.004147547912822,8646571,4753683288,0,tree,,,,,,,
-105.26289932531445,40.004132879582272,8646572,4753683287,0,tree,,,,,,,
-105.262718443843966,40.004413086605354,8646578,4753683304,0,tree,,,,,,,
-105.262341342020193,40.004473017213058,8646579,4753683312,0,tree,,,,,,,
-105.262345449152747,40.004023831021982,8646591,4753683316,0,tree,,,,,,,
-105.26289932531445,40.004634117392044,8646596,4753688927,0,tree,,,,,,,
